iter	Passed	Remaining
1490	7076	7161
1491	7078	7154
1492	7081	7147
1493	7083	7140
1494	7086	7133
1495	7089	7127
1496	7092	7120
1497	7094	7113
1498	7096	7105
1499	7098	7098
1500	7101	7092
1501	7105	7086
1502	7111	7083
1503	7114	7076
1504	7117	7069
1505	7119	7063
1506	7122	7055
1507	7124	7048
1508	7127	7042
1509	7130	7035
1510	7132	7028
1511	7135	7022
1512	7138	7015
1513	7141	7009
1514	7143	7002
1515	7151	7000
1516	7154	6993
1517	7157	6987
1518	7159	6980
1519	7164	6976
1520	7168	6970
1521	7178	6970
1522	7181	6964
1523	7183	6957
1524	7187	6951
1525	7188	6944
1526	7191	6937
1527	7194	6930
1528	7196	6923
1529	7198	6916
1530	7201	6909
1531	7205	6904
1532	7208	6898
1533	7221	6901
1534	7224	6894
1535	7226	6888
1536	7229	6881
1537	7232	6874
1538	7235	6868
1539	7239	6863
1540	7245	6860
1541	7248	6853
1542	7251	6847
1543	7254	6841
1544	7256	6834
1545	7259	6827
1546	7261	6820
1547	7264	6814
1548	7266	6807
1549	7269	6800
1550	7280	6801
1551	7293	6804
1552	7295	6797
1553	7297	6790
1554	7300	6784
1555	7303	6778
1556	7308	6772
1557	7312	6767
1558	7314	6760
1559	7316	6753
1560	7318	6746
1561	7320	6739
1562	7323	6733
1563	7325	6725
1564	7326	6718
1565	7328	6711
1566	7330	6703
1567	7333	6697
1568	7336	6691
1569	7340	6686
1570	7345	6681
1571	7348	6675
1572	7350	6668
1573	7352	6661
1574	7356	6655
1575	7358	6648
1576	7361	6642
1577	7363	6635
1578	7365	6628
1579	7368	6622
1580	7381	6625
1581	7384	6618
1582	7386	6612
1583	7389	6605
1584	7391	6598
1585	7395	6593
1586	7398	6587
1587	7401	6581
1588	7403	6574
1589	7406	6568
1590	7411	6563
1591	7414	6557
1592	7416	6550
1593	7417	6542
1594	7421	6537
1595	7424	6531
1596	7426	6524
1597	7429	6517
1598	7431	6511
1599	7434	6504
1600	7437	6499
1601	7442	6494
1602	7445	6488
1603	7448	6482
1604	7451	6476
1605	7454	6470
1606	7458	6465
1607	7461	6459
1608	7464	6452
1609	7467	6447
1610	7472	6443
1611	7476	6437
1612	7479	6431
1613	7482	6425
1614	7494	6427
1615	7497	6420
1616	7500	6414
1617	7504	6409
1618	7508	6404
1619	7513	6400
1620	7516	6393
1621	7519	6387
1622	7521	6381
1623	7524	6375
1624	7527	6369
1625	7530	6363
1626	7532	6356
1627	7536	6351
1628	7542	6347
1629	7571	6363
1630	7578	6361
1631	7585	6358
1632	7589	6353
1633	7592	6347
1634	7596	6341
1635	7599	6335
1636	7605	6332
1637	7618	6334
1638	7621	6328
1639	7624	6322
1640	7628	6317
1641	7634	6314
1642	7640	6310
1643	7650	6309
1644	7653	6303
1645	7655	6297
1646	7658	6291
1647	7659	6284
1648	7663	6278
1649	7665	6271
1650	7669	6266
1651	7678	6265
1652	7691	6267
1653	7693	6261
1654	7697	6255
1655	7700	6249
1656	7708	6247
1657	7713	6243
1658	7715	6236
1659	7718	6230
1660	7721	6224
1661	7724	6218
1662	7727	6212
1663	7730	6206
1664	7732	6200
1665	7735	6194
1666	7738	6187
1667	7740	6181
1668	7743	6174
1669	7747	6169
1670	7751	6165
1671	7753	6158
1672	7756	6152
1673	7758	6145
1674	7761	6139
1675	7765	6134
1676	7768	6128
1677	7771	6122
1678	7779	6120
1679	7781	6114
